"Model","Year","ssp126","ssp245","ssp585"
"ACCESS-ESM1-5",2093,710.6917,1036.089,1237.9705
"ACCESS-ESM1-5",2094,820.4963,1036.089,1237.9705
"ACCESS-ESM1-5",2095,929.801,1036.089,1237.9705
"ACCESS-ESM1-5",2096,932.3484,1038.9276,1241.3622
"ACCESS-ESM1-5",2097,685.7424,880.8864,1237.9705
"ACCESS-ESM1-5",2098,636.6672,488.1513,1237.9705
"ACCESS-ESM1-5",2099,860.816,763.1104,1237.9705
"ACCESS-ESM1-5",2100,860.816,827.1265,1237.9705
"BCC-CSM2-MR",2020,307.753,53.8169,548.1786
"BCC-CSM2-MR",2021,263.6324,331.2348,580.3928
"BCC-CSM2-MR",2022,269.189,579.9762,324.9858
"BCC-CSM2-MR",2023,241.2502,72.9825,321.9026
"BCC-CSM2-MR",2024,489.865,22.3516,214.5967
"BCC-CSM2-MR",2025,571.6892,11.3448,32.9889
"BCC-CSM2-MR",2026,298.8352,98.2547,113.1405
"BCC-CSM2-MR",2028,115.3749,318.1043,476.7733
"BCC-CSM2-MR",2029,208.2082,336.9476,127.2739
"BCC-CSM2-MR",2030,618.7951,426.6594,636.0679
"BCC-CSM2-MR",2031,558.4472,210.4322,147.5541
"BCC-CSM2-MR",2032,830.1409,169.7112,635.1377
"BCC-CSM2-MR",2033,609.7425,59.0956,666.436
"BCC-CSM2-MR",2034,648.9326,97.4564,195.98
"BCC-CSM2-MR",2035,409.7947,511.7211,388.4942
"BCC-CSM2-MR",2036,674.5715,400.2397,694.9025
"BCC-CSM2-MR",2037,159.8494,765.5138,220.6347
"BCC-CSM2-MR",2038,18.8876,619.8072,202.8998
"BCC-CSM2-MR",2039,259.8402,123.7275,174.3223
"BCC-CSM2-MR",2040,196.5099,305.4677,493.5704
"BCC-CSM2-MR",2041,248.4828,618.6217,516.4948
"BCC-CSM2-MR",2042,191.5032,740.2909,661.1781
"BCC-CSM2-MR",2043,13.1144,851.8479,360.209
"BCC-CSM2-MR",2044,347.1745,602.3706,595.5227
"BCC-CSM2-MR",2045,689.2041,579.7141,752.7826
"BCC-CSM2-MR",2046,731.5236,580.1418,655.409
"BCC-CSM2-MR",2047,846.4154,72.7618,698.9598
