,Site,Genusspeices,X,Program,year,Lat,Long,MPA_status,Density_m2,Group_sp,V,cumm_int,Thresold,MPA
76,120 Reef,Parastichopus_parvimensis,1579,Reef Check,2009,33.737919,-118.392014,SMCA,0.027777778,Sea_Cucumber,65,20.7491,01_none,Fishing
77,120 Reef,Parastichopus_parvimensis,1578,Reef Check,2010,33.737919,-118.392014,SMCA,0.033333333,Sea_Cucumber,65,0,01_none,Fishing
78,120 Reef,Semicossyphus_pulcher,18779,Reef Check,2006,33.737919,-118.392014,SMCA,0.036111111,Sheephead,65,90.2822,01_none,Fishing
79,120 Reef,Semicossyphus_pulcher,18780,Reef Check,2009,33.737919,-118.392014,SMCA,0.024074074,Sheephead,65,20.7491,01_none,Fishing
81,120 Reef,Semicossyphus_pulcher,18778,Reef Check,2007,33.737919,-118.392014,SMCA,0.034259259,Sheephead,65,16.3784,01_none,Fishing
83,120 Reef,Semicossyphus_pulcher,18783,Reef Check,2008,33.737919,-118.392014,SMCA,0.015740741,Sheephead,65,21.2403,01_none,Fishing
84,120 Reef,Semicossyphus_pulcher,18777,Reef Check,2012,33.737919,-118.392014,SMCA,0.00787037,Sheephead,65,34.6337,01_none,Fishing
85,120 Reef,Semicossyphus_pulcher,18775,Reef Check,2013,33.737919,-118.392014,SMCA,0.005555556,Sheephead,65,46.6892,01_none,Fishing
86,120 Reef,Semicossyphus_pulcher,18776,Reef Check,2010,33.737919,-118.392014,SMCA,0.019444444,Sheephead,65,0,01_none,Fishing
87,120 Reef,Semicossyphus_pulcher,18781,Reef Check,2011,33.737919,-118.392014,SMCA,0.025925926,Sheephead,65,0,01_none,Fishing
89,120 Reef,Strongylocentrotus_purpuratus,9460,Reef Check,2008,33.737919,-118.392014,SMCA,2.708928571,Sea_Urchin,65,21.2403,01_none,Fishing
91,120 Reef,Strongylocentrotus_purpuratus,9467,Reef Check,2006,33.737919,-118.392014,SMCA,2.910993101,Sea_Urchin,65,90.2822,01_none,Fishing
93,120 Reef,Strongylocentrotus_purpuratus,9458,Reef Check,2012,33.737919,-118.392014,SMCA,6.882771164,Sea_Urchin,65,34.6337,01_none,Fishing
94,120 Reef,Strongylocentrotus_purpuratus,9465,Reef Check,2010,33.737919,-118.392014,SMCA,4.184722222,Sea_Urchin,65,0,01_none,Fishing
95,120 Reef,Strongylocentrotus_purpuratus,9464,Reef Check,2013,33.737919,-118.392014,SMCA,9.152777778,Sea_Urchin,65,46.6892,01_none,Fishing
96,120 Reef,Strongylocentrotus_purpuratus,9462,Reef Check,2011,33.737919,-118.392014,SMCA,3.098611111,Sea_Urchin,65,0,01_none,Fishing
97,120 Reef,Strongylocentrotus_purpuratus,9461,Reef Check,2009,33.737919,-118.392014,SMCA,1.486111111,Sea_Urchin,65,20.7491,01_none,Fishing
98,120 Reef,Strongylocentrotus_purpuratus,9463,Reef Check,2007,33.737919,-118.392014,SMCA,2.284935897,Sea_Urchin,65,16.3784,01_none,Fishing
100,Abalone Cove,Mesocentrotus_franciscanus,8377,Reef Check,2012,33.736149,-118.37632,SMCA,1.608333333,Sea_Urchin,65,34.6337,01_none,Fishing
102,Abalone Cove,Mesocentrotus_franciscanus,8382,Reef Check,2009,33.736149,-118.37632,SMCA,0.734876543,Sea_Urchin,65,20.7491,01_none,Fishing
104,Abalone Cove,Mesocentrotus_franciscanus,8384,Reef Check,2008,33.736149,-118.37632,SMCA,0.927469136,Sea_Urchin,65,21.2403,01_none,Fishing
105,Abalone Cove,Mesocentrotus_franciscanus,8376,Reef Check,2010,33.736149,-118.37632,SMCA,0.188122605,Sea_Urchin,65,0,01_none,Fishing
107,Abalone Cove,Mesocentrotus_franciscanus,8380,Reef Check,2013,33.736149,-118.37632,SMCA,1.539758852,Sea_Urchin,65,46.6892,01_none,Fishing
108,Abalone Cove,Mesocentrotus_franciscanus,8378,Reef Check,2007,33.736149,-118.37632,SMCA,1.15840081,Sea_Urchin,65,16.3784,01_none,Fishing
109,Abalone Cove,Panulirus_interruptus,7096,Reef Check,2010,33.736149,-118.37632,SMCA,0,Lobster,65,0,01_none,Fishing
110,Abalone Cove,Panulirus_interruptus,7100,Reef Check,2013,33.736149,-118.37632,SMCA,0,Lobster,65,46.6892,01_none,Fishing
112,Abalone Cove,Panulirus_interruptus,7092,Reef Check,2009,33.736149,-118.37632,SMCA,0,Lobster,65,20.7491,01_none,Fishing
113,Abalone Cove,Panulirus_interruptus,7098,Reef Check,2008,33.736149,-118.37632,SMCA,0,Lobster,65,21.2403,01_none,Fishing
115,Abalone Cove,Panulirus_interruptus,7094,Reef Check,2012,33.736149,-118.37632,SMCA,0,Lobster,65,34.6337,01_none,Fishing
116,Abalone Cove,Panulirus_interruptus,7097,Reef Check,2007,33.736149,-118.37632,SMCA,0,Lobster,65,16.3784,01_none,Fishing
118,Abalone Cove,Paralabrax_clathratus,5699,Reef Check,2008,33.736149,-118.37632,SMCA,0.031481482,Bass,65,21.2403,01_none,Fishing
119,Abalone Cove,Paralabrax_clathratus,5703,Reef Check,2010,33.736149,-118.37632,SMCA,0.040740741,Bass,65,0,01_none,Fishing
122,Abalone Cove,Paralabrax_clathratus,5696,Reef Check,2009,33.736149,-118.37632,SMCA,0.012962963,Bass,65,20.7491,01_none,Fishing
123,Abalone Cove,Paralabrax_clathratus,5701,Reef Check,2013,33.736149,-118.37632,SMCA,0.022222222,Bass,65,46.6892,01_none,Fishing
124,Abalone Cove,Paralabrax_clathratus,5698,Reef Check,2012,33.736149,-118.37632,SMCA,0.041666667,Bass,65,34.6337,01_none,Fishing
126,Abalone Cove,Paralabrax_clathratus,5697,Reef Check,2007,33.736149,-118.37632,SMCA,0.036111111,Bass,65,16.3784,01_none,Fishing
127,Abalone Cove,Paralabrax_nebulifer,4285,Reef Check,2007,33.736149,-118.37632,SMCA,0.02962963,Bass,65,16.3784,01_none,Fishing
128,Abalone Cove,Paralabrax_nebulifer,4287,Reef Check,2013,33.736149,-118.37632,SMCA,0.051851852,Bass,65,46.6892,01_none,Fishing
129,Abalone Cove,Paralabrax_nebulifer,4282,Reef Check,2008,33.736149,-118.37632,SMCA,0.039814815,Bass,65,21.2403,01_none,Fishing
130,Abalone Cove,Paralabrax_nebulifer,4283,Reef Check,2010,33.736149,-118.37632,SMCA,0.009259259,Bass,65,0,01_none,Fishing
131,Abalone Cove,Paralabrax_nebulifer,4288,Reef Check,2012,33.736149,-118.37632,SMCA,0.033333333,Bass,65,34.6337,01_none,Fishing
135,Abalone Cove,Paralabrax_nebulifer,4289,Reef Check,2009,33.736149,-118.37632,SMCA,0.025925926,Bass,65,20.7491,01_none,Fishing
136,Abalone Cove,Parastichopus_californicus,3065,Reef Check,2007,33.736149,-118.37632,SMCA,0,Sea_Cucumber,65,16.3784,01_none,Fishing
137,Abalone Cove,Parastichopus_californicus,3064,Reef Check,2010,33.736149,-118.37632,SMCA,0,Sea_Cucumber,65,0,01_none,Fishing
138,Abalone Cove,Parastichopus_californicus,3070,Reef Check,2012,33.736149,-118.37632,SMCA,0,Sea_Cucumber,65,34.6337,01_none,Fishing
141,Abalone Cove,Parastichopus_californicus,3066,Reef Check,2008,33.736149,-118.37632,SMCA,0,Sea_Cucumber,65,21.2403,01_none,Fishing
142,Abalone Cove,Parastichopus_californicus,3067,Reef Check,2009,33.736149,-118.37632,SMCA,0.002777778,Sea_Cucumber,65,20.7491,01_none,Fishing
144,Abalone Cove,Parastichopus_californicus,3063,Reef Check,2013,33.736149,-118.37632,SMCA,0,Sea_Cucumber,65,46.6892,01_none,Fishing
145,Abalone Cove,Parastichopus_parvimensis,1770,Reef Check,2010,33.736149,-118.37632,SMCA,0.061111111,Sea_Cucumber,65,0,01_none,Fishing
146,Abalone Cove,Parastichopus_parvimensis,1773,Reef Check,2009,33.736149,-118.37632,SMCA,0.058333333,Sea_Cucumber,65,20.7491,01_none,Fishing
147,Abalone Cove,Parastichopus_parvimensis,1767,Reef Check,2008,33.736149,-118.37632,SMCA,0.033333333,Sea_Cucumber,65,21.2403,01_none,Fishing
149,Abalone Cove,Parastichopus_parvimensis,1774,Reef Check,2013,33.736149,-118.37632,SMCA,0.013888889,Sea_Cucumber,65,46.6892,01_none,Fishing
151,Abalone Cove,Parastichopus_parvimensis,1766,Reef Check,2012,33.736149,-118.37632,SMCA,0.013888889,Sea_Cucumber,65,34.6337,01_none,Fishing
152,Abalone Cove,Parastichopus_parvimensis,1768,Reef Check,2007,33.736149,-118.37632,SMCA,0.011111111,Sea_Cucumber,65,16.3784,01_none,Fishing
157,Abalone Cove,Semicossyphus_pulcher,19006,Reef Check,2008,33.736149,-118.37632,SMCA,0.012037037,Sheephead,65,21.2403,01_none,Fishing
158,Abalone Cove,Semicossyphus_pulcher,19009,Reef Check,2009,33.736149,-118.37632,SMCA,0.008333333,Sheephead,65,20.7491,01_none,Fishing
159,Abalone Cove,Semicossyphus_pulcher,19007,Reef Check,2013,33.736149,-118.37632,SMCA,0.024074074,Sheephead,65,46.6892,01_none,Fishing
160,Abalone Cove,Semicossyphus_pulcher,19002,Reef Check,2012,33.736149,-118.37632,SMCA,0.017592593,Sheephead,65,34.6337,01_none,Fishing
161,Abalone Cove,Semicossyphus_pulcher,19008,Reef Check,2007,33.736149,-118.37632,SMCA,0.02037037,Sheephead,65,16.3784,01_none,Fishing
162,Abalone Cove,Semicossyphus_pulcher,19010,Reef Check,2010,33.736149,-118.37632,SMCA,0.003703704,Sheephead,65,0,01_none,Fishing
163,Abalone Cove,Strongylocentrotus_purpuratus,9656,Reef Check,2010,33.736149,-118.37632,SMCA,0.381623932,Sea_Urchin,65,0,01_none,Fishing
165,Abalone Cove,Strongylocentrotus_purpuratus,9657,Reef Check,2009,33.736149,-118.37632,SMCA,0.091666667,Sea_Urchin,65,20.7491,01_none,Fishing
166,Abalone Cove,Strongylocentrotus_purpuratus,9663,Reef Check,2012,33.736149,-118.37632,SMCA,5.189569851,Sea_Urchin,65,34.6337,01_none,Fishing
169,Abalone Cove,Strongylocentrotus_purpuratus,9660,Reef Check,2013,33.736149,-118.37632,SMCA,1.567710944,Sea_Urchin,65,46.6892,01_none,Fishing
170,Abalone Cove,Strongylocentrotus_purpuratus,9662,Reef Check,2008,33.736149,-118.37632,SMCA,0.122222222,Sea_Urchin,65,21.2403,01_none,Fishing
171,Abalone Cove,Strongylocentrotus_purpuratus,9661,Reef Check,2007,33.736149,-118.37632,SMCA,5.328381643,Sea_Urchin,65,16.3784,01_none,Fishing
172,ANACAPA_ADMIRALS_CEN,Caulolatilus_princeps,20204,PISCO,2009,34.002883,-119.4252,None,0,White_Fish,46,0,01_none,Fishing
173,ANACAPA_ADMIRALS_CEN,Caulolatilus_princeps,20203,PISCO,2008,34.002883,-119.4252,None,0,White_Fish,46,15.4818,01_none,Fishing
174,ANACAPA_ADMIRALS_CEN,Caulolatilus_princeps,20200,PISCO,2007,34.002883,-119.4252,None,0.002083333,White_Fish,46,14.6205,01_none,Fishing
175,ANACAPA_ADMIRALS_CEN,Caulolatilus_princeps,20205,PISCO,2006,34.002883,-119.4252,None,0.002083333,White_Fish,46,45.4814,01_none,Fishing
176,ANACAPA_ADMIRALS_CEN,Caulolatilus_princeps,20202,PISCO,2005,34.002883,-119.4252,None,0,White_Fish,46,29.1328,01_none,Fishing
177,ANACAPA_ADMIRALS_CEN,Caulolatilus_princeps,20201,PISCO,1999,34.002883,-119.4252,None,0,White_Fish,46,0,01_none,Fishing
178,ANACAPA_ADMIRALS_CEN,Mesocentrotus_franciscanus,8190,PISCO,2009,34.002883,-119.4252,None,8.145833333,Sea_Urchin,46,0,01_none,Fishing
179,ANACAPA_ADMIRALS_CEN,Mesocentrotus_franciscanus,8189,PISCO,2008,34.002883,-119.4252,None,3.9,Sea_Urchin,46,15.4818,01_none,Fishing
180,ANACAPA_ADMIRALS_CEN,Mesocentrotus_franciscanus,8188,PISCO,2007,34.002883,-119.4252,None,5.170833333,Sea_Urchin,46,14.6205,01_none,Fishing
181,ANACAPA_ADMIRALS_CEN,Paralabrax_clathratus,5479,PISCO,2008,34.002883,-119.4252,None,0.014583333,Bass,46,15.4818,01_none,Fishing
182,ANACAPA_ADMIRALS_CEN,Paralabrax_clathratus,5482,PISCO,2007,34.002883,-119.4252,None,0.027083333,Bass,46,14.6205,01_none,Fishing
183,ANACAPA_ADMIRALS_CEN,Paralabrax_clathratus,5484,PISCO,2009,34.002883,-119.4252,None,0.027083333,Bass,46,0,01_none,Fishing
184,ANACAPA_ADMIRALS_CEN,Paralabrax_clathratus,5481,PISCO,1999,34.002883,-119.4252,None,0.016666667,Bass,46,0,01_none,Fishing
185,ANACAPA_ADMIRALS_CEN,Paralabrax_clathratus,5483,PISCO,2005,34.002883,-119.4252,None,0.03125,Bass,46,29.1328,01_none,Fishing
186,ANACAPA_ADMIRALS_CEN,Paralabrax_clathratus,5480,PISCO,2006,34.002883,-119.4252,None,0.020833333,Bass,46,45.4814,01_none,Fishing
187,ANACAPA_ADMIRALS_CEN,Parastichopus_parvimensis,1582,PISCO,2008,34.002883,-119.4252,None,0.258333333,Sea_Cucumber,46,15.4818,01_none,Fishing
188,ANACAPA_ADMIRALS_CEN,Parastichopus_parvimensis,1583,PISCO,2007,34.002883,-119.4252,None,0.233333333,Sea_Cucumber,46,14.6205,01_none,Fishing
189,ANACAPA_ADMIRALS_CEN,Parastichopus_parvimensis,1584,PISCO,2009,34.002883,-119.4252,None,0.345833333,Sea_Cucumber,46,0,01_none,Fishing
190,ANACAPA_ADMIRALS_CEN,Semicossyphus_pulcher,18791,PISCO,2008,34.002883,-119.4252,None,0.00625,Sheephead,46,15.4818,01_none,Fishing
191,ANACAPA_ADMIRALS_CEN,Semicossyphus_pulcher,18788,PISCO,2009,34.002883,-119.4252,None,0.045833333,Sheephead,46,0,01_none,Fishing
192,ANACAPA_ADMIRALS_CEN,Semicossyphus_pulcher,18789,PISCO,2007,34.002883,-119.4252,None,0.008333333,Sheephead,46,14.6205,01_none,Fishing
193,ANACAPA_ADMIRALS_CEN,Semicossyphus_pulcher,18787,PISCO,2005,34.002883,-119.4252,None,0.022916667,Sheephead,46,29.1328,01_none,Fishing
194,ANACAPA_ADMIRALS_CEN,Semicossyphus_pulcher,18786,PISCO,1999,34.002883,-119.4252,None,0.008333333,Sheephead,46,0,01_none,Fishing
195,ANACAPA_ADMIRALS_CEN,Semicossyphus_pulcher,18790,PISCO,2006,34.002883,-119.4252,None,0.016666667,Sheephead,46,45.4814,01_none,Fishing
196,ANACAPA_ADMIRALS_CEN,Strongylocentrotus_purpuratus,9468,PISCO,2007,34.002883,-119.4252,None,12.62916667,Sea_Urchin,46,14.6205,01_none,Fishing
197,ANACAPA_ADMIRALS_CEN,Strongylocentrotus_purpuratus,9469,PISCO,2008,34.002883,-119.4252,None,7.591666667,Sea_Urchin,46,15.4818,01_none,Fishing
198,ANACAPA_ADMIRALS_CEN,Strongylocentrotus_purpuratus,9470,PISCO,2009,34.002883,-119.4252,None,19.35833333,Sea_Urchin,46,0,01_none,Fishing
199,ANACAPA_ADMIRALS_E,Mesocentrotus_franciscanus,8191,PISCO,2008,34.003433,-119.418,None,2.7125,Sea_Urchin,46,15.4818,01_none,Fishing
200,ANACAPA_ADMIRALS_E,Mesocentrotus_franciscanus,8192,PISCO,1999,34.003433,-119.418,None,2.091666667,Sea_Urchin,46,0,01_none,Fishing
201,ANACAPA_ADMIRALS_E,Mesocentrotus_franciscanus,8193,PISCO,2007,34.003433,-119.418,None,3.495833333,Sea_Urchin,46,14.6205,01_none,Fishing
202,ANACAPA_ADMIRALS_E,Mesocentrotus_franciscanus,8194,PISCO,2009,34.003433,-119.418,None,3.925,Sea_Urchin,46,0,01_none,Fishing
203,ANACAPA_ADMIRALS_E,Panulirus_interruptus,6910,PISCO,2009,34.003433,-119.418,None,0,Lobster,46,0,01_none,Fishing
204,ANACAPA_ADMIRALS_E,Panulirus_interruptus,6907,PISCO,2008,34.003433,-119.418,None,0,Lobster,46,15.4818,01_none,Fishing
205,ANACAPA_ADMIRALS_E,Panulirus_interruptus,6908,PISCO,2007,34.003433,-119.418,None,0.0125,Lobster,46,14.6205,01_none,Fishing
206,ANACAPA_ADMIRALS_E,Panulirus_interruptus,6909,PISCO,1999,34.003433,-119.418,None,0.001666667,Lobster,46,0,01_none,Fishing
207,ANACAPA_ADMIRALS_E,Paralabrax_clathratus,5488,PISCO,1999,34.003433,-119.418,None,0.023333333,Bass,46,0,01_none,Fishing
208,ANACAPA_ADMIRALS_E,Paralabrax_clathratus,5490,PISCO,2005,34.003433,-119.418,None,0.025,Bass,46,29.1328,01_none,Fishing
209,ANACAPA_ADMIRALS_E,Paralabrax_clathratus,5487,PISCO,2006,34.003433,-119.418,None,0.075,Bass,46,45.4814,01_none,Fishing
210,ANACAPA_ADMIRALS_E,Paralabrax_clathratus,5489,PISCO,2009,34.003433,-119.418,None,0.045833333,Bass,46,0,01_none,Fishing
211,ANACAPA_ADMIRALS_E,Paralabrax_clathratus,5485,PISCO,2008,34.003433,-119.418,None,0.014583333,Bass,46,15.4818,01_none,Fishing
212,ANACAPA_ADMIRALS_E,Paralabrax_clathratus,5486,PISCO,2007,34.003433,-119.418,None,0.05625,Bass,46,14.6205,01_none,Fishing
213,ANACAPA_ADMIRALS_E,Parastichopus_parvimensis,1587,PISCO,2007,34.003433,-119.418,None,0.133333333,Sea_Cucumber,46,14.6205,01_none,Fishing
214,ANACAPA_ADMIRALS_E,Parastichopus_parvimensis,1585,PISCO,2009,34.003433,-119.418,None,0.320833333,Sea_Cucumber,46,0,01_none,Fishing
215,ANACAPA_ADMIRALS_E,Parastichopus_parvimensis,1586,PISCO,2008,34.003433,-119.418,None,0.129166667,Sea_Cucumber,46,15.4818,01_none,Fishing
216,ANACAPA_ADMIRALS_E,Parastichopus_spp,2846,PISCO,1999,34.003433,-119.418,None,0.038333333,Sea_Cucumber,46,0,01_none,Fishing
217,ANACAPA_ADMIRALS_E,Semicossyphus_pulcher,18797,PISCO,2005,34.003433,-119.418,None,0.008333333,Sheephead,46,29.1328,01_none,Fishing
218,ANACAPA_ADMIRALS_E,Semicossyphus_pulcher,18796,PISCO,2007,34.003433,-119.418,None,0.00625,Sheephead,46,14.6205,01_none,Fishing
219,ANACAPA_ADMIRALS_E,Semicossyphus_pulcher,18793,PISCO,1999,34.003433,-119.418,None,0.066666667,Sheephead,46,0,01_none,Fishing
220,ANACAPA_ADMIRALS_E,Semicossyphus_pulcher,18794,PISCO,2009,34.003433,-119.418,None,0.0125,Sheephead,46,0,01_none,Fishing
221,ANACAPA_ADMIRALS_E,Semicossyphus_pulcher,18795,PISCO,2006,34.003433,-119.418,None,0.004166667,Sheephead,46,45.4814,01_none,Fishing
222,ANACAPA_ADMIRALS_E,Semicossyphus_pulcher,18792,PISCO,2008,34.003433,-119.418,None,0.002083333,Sheephead,46,15.4818,01_none,Fishing
223,ANACAPA_ADMIRALS_E,Strongylocentrotus_purpuratus,9473,PISCO,1999,34.003433,-119.418,None,13.6,Sea_Urchin,46,0,01_none,Fishing
224,ANACAPA_ADMIRALS_E,Strongylocentrotus_purpuratus,9474,PISCO,2007,34.003433,-119.418,None,1.720833333,Sea_Urchin,46,14.6205,01_none,Fishing
225,ANACAPA_ADMIRALS_E,Strongylocentrotus_purpuratus,9472,PISCO,2009,34.003433,-119.418,None,6.75,Sea_Urchin,46,0,01_none,Fishing
226,ANACAPA_ADMIRALS_E,Strongylocentrotus_purpuratus,9471,PISCO,2008,34.003433,-119.418,None,2.754166667,Sea_Urchin,46,15.4818,01_none,Fishing
